"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Stundenmittelwerte über 200 µg/m³*"
Rheinland-Pfalz;DERP013;Westpfalz-Waldmohr;"ländliches Gebiet";Hintergrund;5;0
Rheinland-Pfalz;DERP014;Hunsrück-Leisel;"ländliches Gebiet";Hintergrund;4;0
Rheinland-Pfalz;DERP015;"Westeifel Wascheid";"ländliches Gebiet";Hintergrund;4;0
Rheinland-Pfalz;DERP016;Westerwald-Herdorf;"ländliches Gebiet";Hintergrund;5;0
Rheinland-Pfalz;DERP017;Pfälzerwald-Hortenkopf;"ländliches Gebiet";Hintergrund;4;0
Rheinland-Pfalz;DERP028;Westerwald-Neuhäusel;"ländliches Gebiet";Hintergrund;6;0
Sachsen-Anhalt;DEST104;"Domäne Bobbe";"ländliches Gebiet";Hintergrund;7;0
UBA;DEUB001;Westerland;"ländliches Gebiet";Hintergrund;4;0
UBA;DEUB005;Waldhof;"ländliches Gebiet";Hintergrund;5;0
UBA;DEUB028;Zingst;"ländliches Gebiet";Hintergrund;4;0
UBA;DEUB029;Schmücke;"ländliches Gebiet";Hintergrund;3;0
Brandenburg;DEBB044;"Cottbus, Bahnhofstr.";"städtisches Gebiet";Verkehr;22;0
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"städtisches Gebiet";Verkehr;28;0
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"städtisches Gebiet";Verkehr;21;0
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"städtisches Gebiet";Verkehr;26;0
Brandenburg;DEBB060;"Eberswalde, Breite Straße";"städtisches Gebiet";Verkehr;21;0
Brandenburg;DEBB068;"Bernau, Lohmühlenstr.";"städtisches Gebiet";Verkehr;20;0
Brandenburg;DEBB073;"Potsdam, Großbeerenstr.";"städtisches Gebiet";Verkehr;27;0
Berlin;DEBE061;"Berlin Schildhornstraße";"städtisches Gebiet";Verkehr;32;0
Berlin;DEBE063;"Berlin Silbersteinstraße 1";"städtisches Gebiet";Verkehr;36;0
Berlin;DEBE064;"Berlin Karl-Marx-Straße";"städtisches Gebiet";Verkehr;36;0
Berlin;DEBE065;"Berlin Frankfurter Allee";"städtisches Gebiet";Verkehr;28;0
Berlin;DEBE067;"Berlin Hardenbergplatz";"städtisches Gebiet";Verkehr;26;0
Berlin;DEBE069;"Berlin Mariendorfer Damm";"städtisches Gebiet";Verkehr;34;0
Berlin;DEBE082;"Berlin Leipziger Straße";"städtisches Gebiet";Verkehr;33;
Berlin;DEBE083;"Berlin Kantstraße";"städtisches Gebiet";Verkehr;26;
Berlin;DEBE084;"Berlin Hauptstraße";"städtisches Gebiet";Verkehr;37;
Berlin;DEBE085;"Berlin Herrmannstraße";"städtisches Gebiet";Verkehr;38;
Berlin;DEBE086;"Berlin Sonnenallee";"städtisches Gebiet";Verkehr;39;
Berlin;DEBE092;"Berlin Spandauer Damm";"städtisches Gebiet";Verkehr;40;
Berlin;DEBE096;"Berlin Landsberger Allee";"städtisches Gebiet";Verkehr;35;
Berlin;DEBE097;"Berlin Herrmannplatz";"städtisches Gebiet";Verkehr;38;
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"städtisches Gebiet";Verkehr;30;0
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"städtisches Gebiet";Verkehr;34;0
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"städtisches Gebiet";Verkehr;33;0
