"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³"
Niedersachsen;DENI038;Osnabrück;"städtisches Gebiet";Hintergrund;7,8
Niedersachsen;DENI031;Jadebusen;"ländliches Gebiet";Hintergrund;7,5
Niedersachsen;DENI016;Oker/Harlingerode;"vorstädtisches Gebiet";Hintergrund;6,8
Mecklenburg-Vorpommern;DEMV028;Wismar;"städtisches Gebiet";Hintergrund;9,6
Mecklenburg-Vorpommern;DEMV026;Garz;"ländliches Gebiet";Hintergrund;8,3
Mecklenburg-Vorpommern;DEMV024;Leizen;"ländliches Gebiet";Hintergrund;8,2
Mecklenburg-Vorpommern;DEMV021;Rostock-Warnemünde;"städtisches Gebiet";Hintergrund;9,2
Mecklenburg-Vorpommern;DEMV019;Güstrow;"städtisches Gebiet";Hintergrund;8,7
Mecklenburg-Vorpommern;DEMV012;Löcknitz;"ländliches Gebiet";Hintergrund;8,2
Mecklenburg-Vorpommern;DEMV004;Gülzow;"ländliches Gebiet";Hintergrund;8,6
Hamburg;DEHH059;"Hamburg Wilhelmsburg";"städtisches Gebiet";Hintergrund;9,6
Hamburg;DEHH008;"Hamburg Sternschanze";"städtisches Gebiet";Hintergrund;9,1
Hessen;DEHE046;"Bad Arolsen";"ländliches Gebiet";Hintergrund;7,2
Hessen;DEHE022;"Wiesbaden Süd";"städtisches Gebiet";Hintergrund;8,1
Hessen;DEHE013;"Kassel Mitte";"städtisches Gebiet";Hintergrund;8,3
Hessen;DEHE008;"Frankfurt Ost";"städtisches Gebiet";Hintergrund;9,4
Bremen;DEHB012;Bremen-Oslebshausen;"städtisches Gebiet";Hintergrund;10
Bremen;DEHB005;Bremerhaven-Hansastraße;"städtisches Gebiet";Hintergrund;9
Bremen;DEHB002;Bremen-Ost;"städtisches Gebiet";Hintergrund;9,2
Bayern;DEBY187;Oettingen/Goethestraße;"vorstädtisches Gebiet";Hintergrund;9,6
Bayern;DEBY124;"Burgbernheim/Grüne Au";"ländlich regional";Hintergrund;8,6
Bayern;DEBY118;Passau/Stelzhamerstraße;"städtisches Gebiet";Hintergrund;11
Bayern;DEBY109;Andechs/Rothenfeld;"ländlich regional";Hintergrund;6,9
Bayern;DEBY099;Augsburg/LfU;"vorstädtisches Gebiet";Hintergrund;9,1
Bayern;DEBY089;München/Johanneskirchen;"vorstädtisches Gebiet";Hintergrund;9,2
Bayern;DEBY088;Trostberg/Schwimmbadstraße;"vorstädtisches Gebiet";Hintergrund;9,6
Bayern;DEBY077;Würzburg/Kopfklinik;"vorstädtisches Gebiet";Hintergrund;9,1
Bayern;DEBY075;"Weiden i.d.OPf./Nikolaistraße";"städtisches Gebiet";Hintergrund;10
Bayern;DEBY072;Tiefenbach/Altenschneeberg;"ländlich regional";Hintergrund;6,7
Bayern;DEBY067;"Schwandorf/Wackersdorfer Straße";"vorstädtisches Gebiet";Hintergrund;9,8
Bayern;DEBY058;Nürnberg/Muggenhof;"städtisches Gebiet";Hintergrund;11
Bayern;DEBY052;Neu-Ulm/Gabelsbergerstraße;"städtisches Gebiet";Hintergrund;10
Bayern;DEBY049;"Neustadt a.d. Donau/Eining";"ländlich regional";Hintergrund;9,4
Bayern;DEBY039;München/Lothstraße;"städtisches Gebiet";Hintergrund;9
Bayern;DEBY031;"Kempten (Allgäu)/Westendstraße";"vorstädtisches Gebiet";Hintergrund;8,6
Bayern;DEBY013;Mehring/Sportplatz;"ländlich regional";Hintergrund;9,6
Bayern;DEBY012;"Burghausen/Marktler Straße";"vorstädtisches Gebiet";Hintergrund;10
Bayern;DEBY009;Bamberg/Löwenbrücke;"städtisches Gebiet";Hintergrund;10
Bayern;DEBY007;Augsburg/Bourges-Platz;"städtisches Gebiet";Hintergrund;9,7
Bayern;DEBY005;Aschaffenburg/Bussardweg;"vorstädtisches Gebiet";Hintergrund;10
Bayern;DEBY004;"Kleinwallstadt/Hofstetter Straße";"vorstädtisches Gebiet";Hintergrund;9,3
Bayern;DEBY002;Arzberg/Egerstraße;"vorstädtisches Gebiet";Hintergrund;10
Baden-Württemberg;DEBW107;Tübingen;"vorstädtisches Gebiet";Hintergrund;9
Baden-Württemberg;DEBW087;"Schwäbische Alb";"ländlich regional";Hintergrund;5,5
Baden-Württemberg;DEBW084;Freiburg;"städtisches Gebiet";Hintergrund;7,2
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"städtisches Gebiet";Hintergrund;8,4
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;8,1
Baden-Württemberg;DEBW033;Pforzheim;"städtisches Gebiet";Hintergrund;8,8
Baden-Württemberg;DEBW031;Schwarzwald-Süd;"ländlich regional";Hintergrund;4,1
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;7,9
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;9
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;9,2
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;9,4
Berlin;DEBE068;"Berlin Mitte";"städtisches Gebiet";Hintergrund;12
Berlin;DEBE051;"Berlin Buch";"vorstädtisches Gebiet";Hintergrund;10
